edad,delito_previo,num_delitos_previos,meses_en_prision,empleo,apoyo_familiar,consumo_sustancias,nivel_educativo,supervision_post,reincidencia
24,Robo,0,56,No,No,No,Preparatoria,Baja,Si
38,Violencia_familiar,0,49,Si,Si,No,Secundaria,Media,No
26,Robo,3,58,No,Si,No,Secundaria,Media,Si
56,Narcomenudeo,2,9,Si,Si,No,Universidad,Baja,No
35,Fraude,0,13,Si,Si,No,Primaria,Baja,No
21,Narcomenudeo,0,41,No,Si,No,Secundaria,Media,No
42,Robo,0,6,No,Si,No,Preparatoria,Baja,No
31,Fraude,2,27,Si,No,Si,Primaria,Media,Si
26,Narcomenudeo,0,14,Si,No,Si,Secundaria,Media,Si
43,Robo,0,28,No,Si,Si,Secundaria,Baja,No
19,Robo,2,40,Si,Si,No,Secundaria,Baja,No
37,Violencia_familiar,2,48,Si,Si,No,Secundaria,Media,No
45,Narcomenudeo,0,14,No,Si,No,Secundaria,Baja,No
64,Narcomenudeo,3,45,No,No,Si,Secundaria,Baja,Si
24,Violencia_familiar,0,53,Si,No,No,Secundaria,Media,No
61,Violencia_familiar,3,55,No,No,No,Preparatoria,Baja,Si
25,Robo,3,39,No,Si,No,Primaria,Media,Si
64,Robo,1,48,No,Si,No,Secundaria,Baja,No
52,Robo,2,55,No,Si,No,Universidad,Media,No
31,Violencia_familiar,1,26,No,Si,No,Secundaria,Baja,Si
34,Robo,3,18,No,No,No,Preparatoria,Alta,No
53,Narcomenudeo,0,59,No,No,No,Secundaria,Media,No
57,Violencia_familiar,0,15,Si,Si,Si,Preparatoria,Baja,No
21,Violencia_familiar,2,27,No,No,Si,Universidad,Media,Si
19,Robo,4,56,No,Si,No,Primaria,Media,Si
23,Violencia_familiar,3,56,Si,Si,Si,Secundaria,Media,Si
59,Robo,2,59,Si,No,No,Secundaria,Alta,No
21,Violencia_familiar,3,54,No,Si,Si,Secundaria,Media,Si
46,Robo,0,56,No,Si,No,Primaria,Baja,No
35,Robo,0,6,Si,No,No,Preparatoria,Media,Si
43,Violencia_familiar,2,13,No,No,Si,Primaria,Baja,Si
61,Robo,3,34,Si,Si,No,Secundaria,Media,No
51,Robo,2,51,Si,Si,No,Preparatoria,Media,No
27,Violencia_familiar,3,9,No,No,No,Primaria,Baja,Si
53,Violencia_familiar,1,48,Si,No,Si,Universidad,Baja,Si
31,Narcomenudeo,1,13,Si,No,No,Preparatoria,Media,No
48,Narcomenudeo,1,30,No,Si,Si,Secundaria,Media,Si
32,Narcomenudeo,1,56,Si,No,No,Secundaria,Media,No
25,Robo,2,43,Si,Si,No,Primaria,Baja,No
31,Robo,3,25,No,No,No,Preparatoria,Media,Si
40,Robo,2,47,No,Si,No,Primaria,Baja,No
57,Fraude,0,25,No,No,No,Preparatoria,Baja,No
38,Narcomenudeo,1,52,No,Si,Si,Preparatoria,Baja,Si
33,Narcomenudeo,1,30,Si,Si,No,Primaria,Baja,No
62,Narcomenudeo,2,45,No,Si,Si,Preparatoria,Media,Si
35,Fraude,0,49,No,Si,No,Primaria,Alta,No
64,Robo,3,59,No,No,No,Universidad,Media,Si
41,Narcomenudeo,3,28,No,No,No,Primaria,Baja,Si
43,Narcomenudeo,1,27,No,No,No,Secundaria,Media,Si
42,Narcomenudeo,1,56,No,Si,No,Secundaria,Media,No
62,Robo,1,31,No,No,No,Preparatoria,Baja,No
58,Violencia_familiar,1,21,No,No,No,Secundaria,Alta,No
46,Fraude,2,35,No,Si,Si,Primaria,Media,No
32,Narcomenudeo,0,38,No,Si,No,Secundaria,Alta,No
62,Narcomenudeo,2,16,No,No,No,Secundaria,Media,Si
18,Fraude,3,16,No,No,No,Preparatoria,Media,Si
42,Violencia_familiar,2,37,No,No,No,Preparatoria,Baja,Si
24,Robo,0,32,No,Si,No,Secundaria,Media,No
26,Narcomenudeo,2,30,No,Si,Si,Secundaria,Baja,Si
41,Narcomenudeo,2,19,No,Si,No,Primaria,Alta,No
18,Narcomenudeo,0,5,No,No,No,Secundaria,Media,Si
61,Violencia_familiar,1,18,No,No,Si,Secundaria,Alta,Si
25,Fraude,0,48,No,Si,Si,Secundaria,Media,No
41,Fraude,0,32,No,No,No,Primaria,Alta,No
28,Narcomenudeo,5,54,No,Si,Si,Secundaria,Baja,Si
34,Robo,2,31,No,No,Si,Universidad,Media,Si
25,Fraude,2,47,No,Si,Si,Secundaria,Media,Si
52,Violencia_familiar,2,17,No,Si,Si,Secundaria,Media,Si
52,Robo,1,48,Si,Si,No,Preparatoria,Media,No
50,Fraude,0,58,Si,Si,No,Preparatoria,Baja,No
22,Violencia_familiar,0,27,No,Si,Si,Secundaria,Baja,Si
59,Narcomenudeo,2,53,No,No,Si,Secundaria,Alta,Si
56,Narcomenudeo,2,40,No,No,Si,Preparatoria,Media,Si
58,Robo,3,44,No,No,No,Primaria,Baja,Si
45,Robo,2,49,No,Si,Si,Secundaria,Media,Si
24,Robo,0,55,No,Si,No,Primaria,Alta,No
26,Violencia_familiar,0,56,No,Si,No,Secundaria,Baja,No
25,Robo,2,54,No,No,Si,Secundaria,Alta,Si
29,Robo,2,40,Si,Si,Si,Preparatoria,Alta,No
51,Robo,1,25,No,No,Si,Primaria,Alta,Si
50,Narcomenudeo,3,27,No,No,No,Secundaria,Alta,Si
40,Fraude,0,44,Si,Si,No,Secundaria,Media,No
41,Robo,1,9,No,Si,Si,Secundaria,Media,Si
54,Robo,2,24,Si,Si,No,Preparatoria,Baja,No
52,Violencia_familiar,1,19,Si,Si,Si,Secundaria,Baja,No
61,Narcomenudeo,2,20,Si,No,No,Universidad,Media,No
57,Robo,1,51,Si,No,No,Secundaria,Media,No
39,Narcomenudeo,0,43,No,Si,No,Secundaria,Baja,No
44,Robo,1,12,No,No,No,Preparatoria,Media,No
52,Robo,1,12,No,No,No,Secundaria,Baja,Si
18,Narcomenudeo,2,59,Si,No,No,Primaria,Alta,No
52,Narcomenudeo,4,9,Si,Si,No,Preparatoria,Baja,No
54,Fraude,1,50,Si,Si,No,Secundaria,Media,No
64,Robo,2,52,No,Si,Si,Preparatoria,Media,No
31,Narcomenudeo,1,40,Si,No,Si,Universidad,Baja,Si
20,Narcomenudeo,3,29,No,Si,No,Secundaria,Alta,Si
18,Robo,1,54,Si,Si,No,Secundaria,Media,No
22,Narcomenudeo,0,35,No,No,No,Secundaria,Baja,Si
43,Robo,1,3,Si,No,No,Secundaria,Baja,No
31,Fraude,3,46,Si,No,No,Preparatoria,Baja,No
56,Robo,2,55,No,Si,No,Preparatoria,Baja,No
44,Narcomenudeo,2,36,Si,Si,No,Secundaria,Media,No
26,Robo,1,6,Si,No,No,Primaria,Media,No
32,Fraude,0,19,No,Si,No,Secundaria,Alta,No
32,Narcomenudeo,4,6,No,Si,Si,Secundaria,Media,Si
43,Narcomenudeo,2,45,No,Si,No,Preparatoria,Baja,Si
59,Robo,2,56,Si,Si,No,Primaria,Baja,No
30,Violencia_familiar,0,28,Si,Si,No,Preparatoria,Media,No
49,Robo,1,6,Si,No,Si,Preparatoria,Baja,No
56,Violencia_familiar,1,3,Si,No,Si,Preparatoria,Baja,Si
49,Robo,2,9,No,No,No,Secundaria,Alta,No
21,Robo,0,32,No,Si,No,Preparatoria,Baja,No
47,Robo,3,52,Si,Si,No,Secundaria,Alta,No
54,Narcomenudeo,3,11,No,Si,No,Preparatoria,Baja,Si
40,Narcomenudeo,0,37,Si,No,No,Secundaria,Alta,No
56,Robo,3,10,No,Si,No,Secundaria,Media,No
62,Violencia_familiar,0,26,Si,No,Si,Secundaria,Media,No
32,Narcomenudeo,2,21,Si,No,No,Primaria,Baja,Si
60,Narcomenudeo,2,38,No,Si,No,Secundaria,Alta,No
46,Narcomenudeo,1,52,No,Si,Si,Universidad,Alta,No
53,Narcomenudeo,4,54,No,No,No,Primaria,Media,Si
30,Narcomenudeo,2,45,Si,No,No,Secundaria,Media,No
49,Robo,2,29,Si,Si,No,Secundaria,Media,No
24,Robo,2,34,No,Si,No,Secundaria,Baja,Si
39,Violencia_familiar,1,16,Si,No,No,Primaria,Media,No
45,Fraude,0,59,No,Si,Si,Secundaria,Alta,No
19,Robo,0,20,Si,Si,No,Primaria,Media,No
59,Robo,2,30,No,Si,No,Primaria,Baja,No
62,Narcomenudeo,2,31,No,Si,No,Preparatoria,Media,No
23,Narcomenudeo,4,18,Si,Si,No,Secundaria,Media,No
45,Robo,3,37,No,Si,Si,Universidad,Baja,Si
45,Robo,2,49,No,Si,Si,Primaria,Baja,Si
61,Violencia_familiar,0,33,Si,Si,No,Secundaria,Baja,No
61,Narcomenudeo,2,6,No,No,Si,Primaria,Media,Si
37,Robo,1,39,No,No,No,Secundaria,Baja,Si
47,Robo,1,19,Si,No,No,Universidad,Media,No
28,Robo,4,41,Si,No,No,Preparatoria,Media,Si
45,Narcomenudeo,2,50,Si,Si,Si,Primaria,Media,No
42,Robo,1,48,No,Si,No,Secundaria,Alta,No
56,Robo,2,28,No,No,No,Secundaria,Baja,Si
50,Violencia_familiar,2,50,No,Si,Si,Primaria,Baja,Si
18,Robo,1,41,No,Si,Si,Primaria,Alta,No
44,Narcomenudeo,1,43,No,No,Si,Universidad,Baja,Si
30,Robo,3,6,No,Si,No,Universidad,Baja,Si
58,Robo,4,32,Si,Si,Si,Universidad,Alta,No
20,Robo,1,32,No,No,No,Preparatoria,Alta,No
56,Violencia_familiar,1,24,Si,No,No,Preparatoria,Media,No
23,Violencia_familiar,0,13,No,Si,No,Secundaria,Baja,Si
25,Violencia_familiar,1,4,Si,No,Si,Primaria,Media,Si
44,Robo,2,46,Si,No,No,Primaria,Baja,No
26,Narcomenudeo,2,14,Si,No,Si,Preparatoria,Media,Si
54,Robo,0,32,Si,Si,No,Preparatoria,Media,No
50,Robo,0,38,No,Si,No,Preparatoria,Alta,No
59,Violencia_familiar,1,20,No,No,No,Universidad,Baja,Si
61,Robo,5,28,No,No,No,Preparatoria,Media,Si
41,Robo,3,55,No,No,Si,Universidad,Baja,Si
32,Robo,1,9,No,Si,No,Primaria,Baja,No
49,Robo,2,3,Si,Si,No,Preparatoria,Media,No
49,Robo,1,28,Si,No,Si,Secundaria,Baja,No
41,Narcomenudeo,1,25,No,Si,No,Secundaria,Media,Si
58,Narcomenudeo,2,28,No,Si,No,Universidad,Media,No
29,Violencia_familiar,3,47,Si,Si,No,Preparatoria,Alta,No
56,Violencia_familiar,1,8,Si,Si,No,Primaria,Media,No
19,Robo,2,8,Si,No,No,Primaria,Alta,No
20,Robo,2,46,No,No,No,Preparatoria,Media,Si
54,Robo,0,10,Si,Si,No,Secundaria,Baja,No
34,Narcomenudeo,2,26,No,Si,No,Universidad,Media,Si
19,Robo,1,24,No,No,Si,Primaria,Media,Si
19,Narcomenudeo,1,21,Si,Si,Si,Primaria,Media,No
45,Narcomenudeo,1,39,No,Si,No,Secundaria,Media,No
40,Narcomenudeo,1,20,No,No,No,Primaria,Media,Si
54,Narcomenudeo,0,33,No,Si,No,Primaria,Baja,Si
49,Robo,5,39,No,No,Si,Universidad,Baja,Si
50,Fraude,0,32,No,Si,Si,Secundaria,Media,No
18,Violencia_familiar,1,59,No,No,No,Secundaria,Media,Si
36,Robo,0,44,Si,Si,No,Primaria,Media,No
19,Violencia_familiar,4,35,Si,No,Si,Secundaria,Media,Si
61,Narcomenudeo,2,12,Si,Si,No,Preparatoria,Baja,No
43,Violencia_familiar,0,39,Si,Si,No,Secundaria,Media,No
49,Violencia_familiar,5,14,Si,No,No,Preparatoria,Media,Si
23,Narcomenudeo,1,56,Si,Si,No,Secundaria,Media,No
49,Robo,2,32,Si,Si,Si,Secundaria,Media,No
21,Robo,3,29,No,Si,No,Secundaria,Media,No
28,Narcomenudeo,2,41,No,No,No,Secundaria,Media,No
34,Narcomenudeo,1,11,No,Si,Si,Preparatoria,Alta,Si
55,Robo,1,56,No,Si,No,Secundaria,Media,Si
41,Robo,4,23,No,No,No,Preparatoria,Media,Si
22,Violencia_familiar,1,14,No,Si,No,Primaria,Media,No
51,Fraude,1,57,Si,No,No,Preparatoria,Media,No
23,Narcomenudeo,1,31,Si,No,Si,Universidad,Media,Si
39,Robo,0,35,No,No,No,Secundaria,Media,No
28,Robo,2,45,No,No,Si,Secundaria,Media,Si
33,Robo,1,55,No,No,No,Universidad,Baja,Si
50,Fraude,1,17,Si,Si,No,Secundaria,Alta,No
26,Robo,0,4,Si,No,No,Secundaria,Media,No
23,Narcomenudeo,1,54,No,Si,No,Secundaria,Media,Si
33,Robo,0,41,No,Si,No,Preparatoria,Media,No
46,Narcomenudeo,0,55,Si,No,Si,Preparatoria,Baja,Si
20,Narcomenudeo,0,46,Si,Si,No,Secundaria,Baja,No
37,Violencia_familiar,0,56,No,No,No,Secundaria,Baja,Si
53,Robo,2,20,No,Si,No,Universidad,Media,No
36,Robo,1,5,Si,No,No,Primaria,Alta,No
43,Robo,2,9,No,Si,No,Secundaria,Media,No
20,Fraude,1,45,Si,No,Si,Primaria,Media,No
36,Violencia_familiar,1,20,Si,No,No,Preparatoria,Media,No
37,Narcomenudeo,4,46,No,No,Si,Primaria,Baja,Si
49,Narcomenudeo,1,40,Si,Si,No,Preparatoria,Baja,No
24,Narcomenudeo,1,39,No,Si,Si,Primaria,Media,Si
58,Robo,3,35,No,Si,Si,Preparatoria,Alta,Si
50,Fraude,3,46,No,No,Si,Preparatoria,Media,Si
57,Narcomenudeo,1,33,Si,No,No,Secundaria,Media,No
56,Robo,1,13,Si,Si,No,Secundaria,Alta,No
35,Narcomenudeo,2,6,Si,No,Si,Secundaria,Baja,Si
57,Robo,1,20,No,No,Si,Secundaria,Media,Si
18,Robo,1,6,No,Si,No,Preparatoria,Media,No
28,Violencia_familiar,2,51,No,No,Si,Secundaria,Media,Si
45,Robo,0,36,No,No,No,Preparatoria,Baja,No
42,Narcomenudeo,3,31,No,Si,Si,Primaria,Media,Si
40,Robo,1,26,No,Si,No,Primaria,Media,No
48,Robo,0,24,Si,Si,Si,Secundaria,Baja,No
47,Robo,5,4,Si,No,No,Secundaria,Media,No
59,Robo,1,46,No,No,No,Secundaria,Baja,No
52,Violencia_familiar,1,8,Si,No,No,Preparatoria,Alta,No
24,Robo,0,44,Si,Si,Si,Primaria,Media,No
33,Narcomenudeo,1,27,No,Si,No,Primaria,Alta,No
43,Narcomenudeo,2,57,No,Si,No,Preparatoria,Media,No
19,Narcomenudeo,0,59,Si,Si,Si,Preparatoria,Baja,No
18,Fraude,1,23,No,No,Si,Primaria,Baja,Si
29,Violencia_familiar,4,57,No,No,No,Secundaria,Baja,Si
22,Robo,1,18,No,No,Si,Secundaria,Baja,Si
54,Robo,2,33,Si,No,No,Preparatoria,Media,No
49,Robo,4,16,Si,Si,No,Preparatoria,Baja,No
26,Narcomenudeo,1,41,No,Si,No,Preparatoria,Media,Si
58,Robo,1,30,No,Si,No,Preparatoria,Media,No
52,Narcomenudeo,2,34,No,No,No,Secundaria,Media,Si
36,Narcomenudeo,0,30,No,No,Si,Preparatoria,Media,Si
33,Robo,1,53,Si,Si,No,Secundaria,Media,No
20,Violencia_familiar,2,57,Si,Si,Si,Primaria,Alta,No
37,Robo,0,51,No,Si,No,Secundaria,Baja,No
41,Robo,2,11,Si,Si,No,Universidad,Media,No
50,Violencia_familiar,0,47,Si,Si,Si,Preparatoria,Media,No
41,Narcomenudeo,1,24,No,Si,No,Primaria,Media,No
28,Narcomenudeo,2,34,Si,Si,Si,Preparatoria,Media,No
25,Narcomenudeo,0,7,Si,No,No,Preparatoria,Media,No
53,Robo,3,25,Si,No,No,Secundaria,Media,No
55,Violencia_familiar,1,7,Si,Si,No,Secundaria,Media,No
57,Violencia_familiar,2,44,Si,Si,Si,Preparatoria,Alta,No
37,Narcomenudeo,0,55,No,Si,No,Secundaria,Alta,No
52,Robo,0,34,No,Si,No,Primaria,Baja,No
42,Narcomenudeo,1,12,Si,Si,Si,Preparatoria,Baja,No
52,Robo,0,41,No,Si,No,Universidad,Alta,No
42,Robo,2,17,Si,No,Si,Preparatoria,Alta,No
46,Fraude,1,9,No,No,No,Preparatoria,Baja,No
35,Robo,3,31,No,Si,No,Secundaria,Media,Si
63,Fraude,4,49,No,No,No,Primaria,Alta,No
35,Narcomenudeo,1,5,No,Si,No,Secundaria,Media,Si
19,Robo,1,21,Si,Si,No,Secundaria,Baja,No
52,Narcomenudeo,3,12,Si,No,No,Preparatoria,Media,No
33,Violencia_familiar,1,30,No,No,Si,Primaria,Alta,Si
58,Violencia_familiar,1,31,Si,No,Si,Secundaria,Alta,No
53,Violencia_familiar,0,17,Si,No,No,Secundaria,Media,No
50,Narcomenudeo,1,37,No,No,No,Universidad,Media,Si
21,Narcomenudeo,2,8,No,No,No,Primaria,Baja,Si
50,Violencia_familiar,1,14,No,No,Si,Primaria,Alta,Si
31,Robo,2,49,Si,Si,No,Primaria,Baja,No
38,Narcomenudeo,3,40,No,No,Si,Preparatoria,Alta,Si
37,Robo,2,15,Si,No,No,Primaria,Media,No
25,Fraude,1,31,Si,No,No,Primaria,Alta,No
24,Fraude,2,21,No,Si,Si,Primaria,Baja,Si
20,Robo,5,5,Si,No,Si,Preparatoria,Media,Si
34,Violencia_familiar,1,10,Si,Si,No,Primaria,Baja,No
50,Fraude,1,10,No,Si,Si,Secundaria,Media,No
29,Robo,2,57,Si,Si,No,Secundaria,Alta,No
39,Narcomenudeo,2,22,Si,No,Si,Secundaria,Media,Si
39,Fraude,2,49,Si,No,No,Preparatoria,Media,No
63,Robo,1,6,No,Si,No,Secundaria,Baja,No
47,Narcomenudeo,2,53,No,Si,No,Universidad,Alta,No
55,Robo,4,23,No,Si,Si,Universidad,Media,Si
55,Fraude,4,5,No,No,Si,Secundaria,Media,Si
62,Fraude,0,47,No,Si,No,Preparatoria,Media,No
25,Fraude,4,10,No,Si,No,Preparatoria,Media,Si
44,Narcomenudeo,2,25,Si,Si,Si,Preparatoria,Media,No
44,Violencia_familiar,2,18,Si,Si,Si,Secundaria,Media,No
51,Violencia_familiar,3,15,No,Si,No,Secundaria,Media,No
38,Robo,0,5,Si,No,No,Secundaria,Alta,No
47,Violencia_familiar,1,50,No,Si,Si,Preparatoria,Alta,No
50,Robo,2,11,No,No,Si,Primaria,Baja,Si
45,Narcomenudeo,1,16,No,Si,No,Primaria,Media,No
64,Robo,3,15,Si,Si,No,Secundaria,Baja,No
50,Robo,0,55,Si,Si,No,Primaria,Baja,No
22,Robo,3,59,Si,No,No,Secundaria,Media,No
36,Narcomenudeo,5,9,No,No,Si,Primaria,Alta,Si
21,Robo,0,17,No,No,Si,Secundaria,Baja,Si
52,Violencia_familiar,1,9,No,No,Si,Universidad,Media,Si
34,Robo,1,40,Si,Si,No,Secundaria,Alta,No
61,Robo,0,36,Si,No,No,Preparatoria,Alta,No
45,Narcomenudeo,1,43,Si,No,Si,Primaria,Media,No
47,Violencia_familiar,2,24,No,Si,No,Primaria,Media,Si
46,Robo,2,26,No,No,Si,Preparatoria,Media,Si
63,Narcomenudeo,0,51,Si,Si,No,Preparatoria,Baja,No
23,Violencia_familiar,3,39,No,Si,No,Secundaria,Baja,Si
52,Narcomenudeo,0,46,Si,Si,Si,Universidad,Baja,No
58,Robo,1,3,No,Si,Si,Universidad,Media,No
54,Robo,1,12,No,Si,No,Universidad,Alta,No
41,Violencia_familiar,4,45,Si,Si,No,Secundaria,Media,No
46,Robo,1,18,Si,Si,No,Primaria,Media,No
63,Violencia_familiar,3,48,No,Si,No,Secundaria,Media,Si
48,Narcomenudeo,1,10,No,No,No,Preparatoria,Baja,Si
52,Fraude,2,58,No,No,Si,Primaria,Media,Si
50,Violencia_familiar,2,51,No,Si,Si,Preparatoria,Alta,No
38,Fraude,1,27,Si,Si,No,Primaria,Baja,No
49,Robo,4,52,No,Si,Si,Secundaria,Baja,Si
40,Violencia_familiar,0,14,No,No,No,Secundaria,Media,Si
50,Narcomenudeo,1,27,No,Si,Si,Preparatoria,Media,Si
20,Narcomenudeo,1,19,Si,Si,Si,Secundaria,Media,Si
35,Narcomenudeo,0,28,Si,Si,Si,Preparatoria,Media,No
42,Violencia_familiar,1,48,Si,No,No,Secundaria,Media,No
59,Fraude,2,50,Si,Si,Si,Preparatoria,Baja,No
48,Violencia_familiar,1,16,Si,Si,No,Universidad,Media,No
20,Narcomenudeo,1,43,Si,Si,No,Preparatoria,Media,No
57,Narcomenudeo,0,38,Si,Si,No,Universidad,Alta,No
63,Violencia_familiar,1,59,Si,No,No,Primaria,Alta,No
41,Robo,1,25,No,No,Si,Secundaria,Alta,Si
49,Robo,1,45,Si,No,No,Primaria,Media,No
64,Robo,1,8,Si,No,Si,Secundaria,Media,No
39,Robo,2,49,Si,Si,No,Preparatoria,Media,No
40,Robo,3,7,Si,No,Si,Primaria,Alta,No
19,Robo,1,45,No,No,No,Secundaria,Baja,Si
44,Robo,2,27,Si,Si,No,Secundaria,Media,No
59,Robo,2,20,No,No,No,Secundaria,Media,Si
19,Fraude,0,15,No,Si,No,Secundaria,Media,No
43,Narcomenudeo,6,45,No,Si,No,Preparatoria,Baja,Si
34,Robo,0,16,No,No,Si,Primaria,Media,Si
57,Narcomenudeo,2,30,No,No,No,Secundaria,Media,Si
50,Robo,2,20,No,No,Si,Secundaria,Media,Si
26,Fraude,1,59,Si,Si,No,Preparatoria,Media,No
60,Violencia_familiar,0,30,Si,No,No,Secundaria,Media,No
56,Robo,1,53,No,Si,No,Preparatoria,Alta,No
46,Narcomenudeo,0,58,Si,Si,No,Secundaria,Media,No
59,Violencia_familiar,4,29,Si,No,No,Secundaria,Media,No
43,Fraude,3,34,No,No,No,Primaria,Baja,Si
52,Narcomenudeo,2,49,No,Si,Si,Secundaria,Baja,Si
42,Narcomenudeo,0,11,Si,No,No,Preparatoria,Media,No
41,Robo,2,42,No,Si,No,Primaria,Media,No
30,Fraude,2,34,Si,Si,No,Secundaria,Media,No
24,Robo,0,22,No,Si,No,Preparatoria,Baja,No
53,Fraude,2,30,Si,No,Si,Secundaria,Alta,No
62,Narcomenudeo,0,35,Si,Si,Si,Primaria,Media,No
37,Narcomenudeo,0,6,No,No,No,Preparatoria,Baja,Si
18,Narcomenudeo,1,48,No,Si,Si,Primaria,Media,Si
25,Robo,1,59,No,No,Si,Preparatoria,Alta,Si
63,Robo,1,36,Si,Si,No,Primaria,Media,No
33,Robo,0,50,Si,No,No,Preparatoria,Baja,No
31,Robo,0,5,No,Si,No,Secundaria,Media,No
29,Violencia_familiar,1,28,Si,No,Si,Preparatoria,Baja,Si
40,Robo,1,10,Si,No,No,Primaria,Baja,No
32,Robo,1,8,Si,No,Si,Preparatoria,Baja,Si
45,Fraude,3,18,No,Si,No,Secundaria,Media,No
51,Violencia_familiar,2,26,No,No,Si,Secundaria,Baja,Si
19,Fraude,2,50,No,Si,No,Secundaria,Alta,No
49,Fraude,0,41,No,No,No,Preparatoria,Baja,No
40,Robo,2,32,Si,No,No,Universidad,Baja,No
39,Robo,1,47,Si,Si,No,Primaria,Media,No
42,Violencia_familiar,2,15,No,Si,No,Primaria,Baja,Si
39,Narcomenudeo,1,7,Si,Si,Si,Preparatoria,Media,No
39,Robo,0,27,No,No,No,Primaria,Baja,No
59,Violencia_familiar,1,22,Si,No,Si,Universidad,Baja,No
23,Robo,2,56,No,Si,No,Secundaria,Baja,No
32,Robo,4,20,No,Si,No,Preparatoria,Media,Si
60,Narcomenudeo,1,49,No,Si,Si,Primaria,Baja,Si
54,Narcomenudeo,1,20,Si,Si,No,Primaria,Media,No
50,Narcomenudeo,2,4,Si,Si,No,Preparatoria,Media,No
25,Robo,0,12,Si,No,Si,Universidad,Media,No
61,Violencia_familiar,6,57,Si,Si,No,Universidad,Media,No
61,Robo,1,47,Si,No,No,Primaria,Media,No
22,Robo,0,52,No,No,No,Primaria,Alta,No
56,Violencia_familiar,0,49,Si,Si,No,Primaria,Baja,No
21,Fraude,3,14,No,No,Si,Preparatoria,Baja,Si
23,Violencia_familiar,2,49,No,Si,No,Secundaria,Baja,Si
62,Violencia_familiar,1,15,Si,Si,Si,Primaria,Baja,No
49,Narcomenudeo,2,52,No,Si,Si,Primaria,Baja,Si
47,Narcomenudeo,3,49,Si,Si,No,Secundaria,Media,No
64,Robo,0,59,Si,Si,No,Universidad,Media,No
52,Narcomenudeo,0,57,No,Si,No,Secundaria,Alta,No
57,Robo,2,13,No,Si,Si,Primaria,Baja,Si
33,Robo,2,21,Si,Si,Si,Secundaria,Baja,No
30,Violencia_familiar,2,37,Si,Si,Si,Secundaria,Alta,No
59,Narcomenudeo,1,41,No,Si,No,Primaria,Alta,No
47,Robo,2,55,Si,Si,Si,Primaria,Media,No
36,Robo,0,28,No,Si,No,Preparatoria,Media,No
34,Narcomenudeo,0,48,No,No,No,Primaria,Alta,No
36,Robo,1,16,No,Si,No,Primaria,Media,No
45,Violencia_familiar,0,56,Si,No,No,Secundaria,Baja,No
43,Narcomenudeo,4,47,Si,Si,Si,Preparatoria,Alta,No
54,Narcomenudeo,1,46,Si,No,Si,Secundaria,Media,No
43,Narcomenudeo,5,26,Si,Si,No,Preparatoria,Baja,Si
40,Violencia_familiar,2,43,Si,No,Si,Secundaria,Media,Si
26,Robo,2,3,Si,No,No,Preparatoria,Media,No
