tipo_incidente,turno,dia_semana,zona,quien_reporta,arma_mencionada,prioridad
Accidente_vial,Nocturno,Fin_de_semana,Habitacional,Testigo,No,Media
Robo_sin_violencia,Matutino,Fin_de_semana,Via_publica,Vecino,No,Baja
Accidente_vial,Vespertino,Fin_de_semana,Via_publica,Vecino,No,Media
Disturbio_vecinal,Nocturno,Entre_semana,Via_publica,Anonimo,No,Baja
Accidente_vial,Matutino,Entre_semana,Comercial,Victima,No,Media
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Victima,No,Baja
Incendio,Matutino,Entre_semana,Habitacional,Victima,No,Alta
Persona_sospechosa,Nocturno,Fin_de_semana,Via_publica,Victima,Si,Alta
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Testigo,No,Baja
Violencia_familiar,Matutino,Entre_semana,Comercial,Anonimo,Si,Alta
Disturbio_vecinal,Vespertino,Entre_semana,Via_publica,Vecino,No,Baja
Accidente_vial,Nocturno,Entre_semana,Comercial,Testigo,No,Media
Disturbio_vecinal,Nocturno,Entre_semana,Via_publica,Anonimo,No,Baja
Violencia_familiar,Vespertino,Entre_semana,Habitacional,Vecino,No,Alta
Disturbio_vecinal,Nocturno,Fin_de_semana,Comercial,Victima,No,Media
Accidente_vial,Matutino,Fin_de_semana,Habitacional,Victima,No,Media
Persona_sospechosa,Vespertino,Fin_de_semana,Via_publica,Vecino,No,Baja
Disturbio_vecinal,Vespertino,Fin_de_semana,Habitacional,Victima,No,Baja
Auto_sospechoso,Vespertino,Entre_semana,Habitacional,Victima,No,Baja
Robo_sin_violencia,Matutino,Fin_de_semana,Habitacional,Testigo,No,Baja
Persona_sospechosa,Matutino,Fin_de_semana,Comercial,Vecino,Si,Media
Accidente_vial,Nocturno,Entre_semana,Habitacional,Anonimo,No,Media
Accidente_vial,Vespertino,Entre_semana,Via_publica,Victima,No,Alta
Violencia_familiar,Vespertino,Entre_semana,Via_publica,Anonimo,No,Alta
Accidente_vial,Nocturno,Entre_semana,Habitacional,Testigo,No,Media
Disturbio_vecinal,Vespertino,Fin_de_semana,Comercial,Testigo,No,Baja
Robo_con_violencia,Vespertino,Fin_de_semana,Escolar,Victima,No,Alta
Robo_con_violencia,Vespertino,Entre_semana,Comercial,Testigo,No,Alta
Persona_sospechosa,Matutino,Entre_semana,Comercial,Testigo,No,Baja
Accidente_vial,Matutino,Entre_semana,Via_publica,Testigo,No,Media
Persona_sospechosa,Vespertino,Fin_de_semana,Via_publica,Anonimo,No,Baja
Auto_sospechoso,Vespertino,Fin_de_semana,Via_publica,Testigo,Si,Baja
Persona_sospechosa,Matutino,Entre_semana,Habitacional,Victima,Si,Alta
Robo_con_violencia,Matutino,Entre_semana,Habitacional,Anonimo,No,Alta
Disturbio_vecinal,Nocturno,Entre_semana,Habitacional,Vecino,No,Media
Violencia_familiar,Nocturno,Entre_semana,Comercial,Victima,No,Alta
Robo_sin_violencia,Vespertino,Fin_de_semana,Via_publica,Vecino,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Habitacional,Vecino,No,Baja
Auto_sospechoso,Nocturno,Entre_semana,Via_publica,Victima,No,Baja
Incendio,Matutino,Fin_de_semana,Habitacional,Testigo,No,Alta
Accidente_vial,Nocturno,Entre_semana,Habitacional,Victima,No,Alta
Incendio,Matutino,Entre_semana,Comercial,Victima,No,Alta
Robo_sin_violencia,Nocturno,Entre_semana,Via_publica,Testigo,No,Baja
Disturbio_vecinal,Nocturno,Entre_semana,Via_publica,Victima,No,Media
Accidente_vial,Vespertino,Entre_semana,Habitacional,Testigo,No,Media
Persona_sospechosa,Vespertino,Entre_semana,Habitacional,Testigo,No,Baja
Accidente_vial,Vespertino,Entre_semana,Comercial,Vecino,No,Media
Robo_sin_violencia,Nocturno,Entre_semana,Habitacional,Anonimo,No,Baja
Disturbio_vecinal,Vespertino,Entre_semana,Escolar,Victima,Si,Alta
Disturbio_vecinal,Nocturno,Entre_semana,Comercial,Victima,Si,Alta
Disturbio_vecinal,Matutino,Fin_de_semana,Habitacional,Vecino,No,Baja
Robo_sin_violencia,Vespertino,Entre_semana,Comercial,Testigo,No,Baja
Disturbio_vecinal,Nocturno,Fin_de_semana,Via_publica,Victima,No,Media
Accidente_vial,Vespertino,Fin_de_semana,Via_publica,Victima,No,Media
Persona_sospechosa,Nocturno,Entre_semana,Via_publica,Victima,No,Media
Persona_sospechosa,Vespertino,Entre_semana,Comercial,Anonimo,Si,Media
Accidente_vial,Vespertino,Fin_de_semana,Via_publica,Testigo,No,Media
Accidente_vial,Nocturno,Entre_semana,Escolar,Vecino,No,Alta
Persona_sospechosa,Vespertino,Entre_semana,Comercial,Vecino,Si,Alta
Auto_sospechoso,Vespertino,Fin_de_semana,Via_publica,Vecino,No,Baja
Persona_sospechosa,Vespertino,Entre_semana,Comercial,Testigo,No,Baja
Incendio,Nocturno,Entre_semana,Habitacional,Testigo,No,Alta
Auto_sospechoso,Matutino,Entre_semana,Habitacional,Vecino,No,Baja
Robo_con_violencia,Nocturno,Entre_semana,Habitacional,Testigo,Si,Alta
Auto_sospechoso,Vespertino,Entre_semana,Habitacional,Victima,No,Baja
Disturbio_vecinal,Vespertino,Entre_semana,Habitacional,Anonimo,No,Baja
Accidente_vial,Vespertino,Entre_semana,Comercial,Anonimo,No,Media
Persona_sospechosa,Nocturno,Fin_de_semana,Via_publica,Testigo,No,Baja
Persona_sospechosa,Nocturno,Entre_semana,Via_publica,Vecino,No,Media
Robo_sin_violencia,Vespertino,Fin_de_semana,Via_publica,Anonimo,No,Baja
Violencia_familiar,Vespertino,Entre_semana,Comercial,Testigo,No,Alta
Robo_con_violencia,Nocturno,Entre_semana,Comercial,Victima,No,Alta
Disturbio_vecinal,Matutino,Entre_semana,Comercial,Victima,No,Baja
Incendio,Matutino,Entre_semana,Via_publica,Anonimo,No,Alta
Accidente_vial,Vespertino,Fin_de_semana,Via_publica,Anonimo,No,Media
Violencia_familiar,Vespertino,Entre_semana,Habitacional,Testigo,No,Alta
Persona_sospechosa,Matutino,Entre_semana,Via_publica,Anonimo,No,Baja
Incendio,Matutino,Fin_de_semana,Habitacional,Testigo,No,Alta
Persona_sospechosa,Matutino,Entre_semana,Habitacional,Testigo,No,Baja
Robo_con_violencia,Matutino,Fin_de_semana,Via_publica,Victima,No,Alta
Accidente_vial,Matutino,Entre_semana,Habitacional,Vecino,No,Media
Accidente_vial,Matutino,Entre_semana,Via_publica,Testigo,No,Media
Robo_con_violencia,Matutino,Entre_semana,Habitacional,Anonimo,No,Alta
Accidente_vial,Vespertino,Entre_semana,Habitacional,Anonimo,Si,Alta
Violencia_familiar,Matutino,Entre_semana,Via_publica,Vecino,No,Alta
Incendio,Nocturno,Entre_semana,Via_publica,Testigo,No,Alta
Auto_sospechoso,Vespertino,Entre_semana,Habitacional,Testigo,No,Baja
Robo_sin_violencia,Matutino,Fin_de_semana,Via_publica,Anonimo,No,Baja
Robo_sin_violencia,Nocturno,Entre_semana,Habitacional,Vecino,No,Baja
Violencia_familiar,Nocturno,Entre_semana,Via_publica,Vecino,No,Alta
Robo_sin_violencia,Vespertino,Fin_de_semana,Via_publica,Victima,No,Baja
Robo_sin_violencia,Matutino,Entre_semana,Via_publica,Anonimo,No,Baja
Violencia_familiar,Nocturno,Fin_de_semana,Comercial,Testigo,No,Alta
Robo_sin_violencia,Nocturno,Entre_semana,Via_publica,Testigo,No,Baja
Persona_sospechosa,Nocturno,Entre_semana,Via_publica,Victima,No,Media
Auto_sospechoso,Nocturno,Entre_semana,Habitacional,Anonimo,No,Baja
Robo_con_violencia,Vespertino,Entre_semana,Escolar,Anonimo,Si,Alta
Accidente_vial,Vespertino,Entre_semana,Comercial,Testigo,No,Media
Persona_sospechosa,Matutino,Fin_de_semana,Habitacional,Vecino,No,Baja
Auto_sospechoso,Matutino,Fin_de_semana,Comercial,Anonimo,No,Baja
Disturbio_vecinal,Nocturno,Fin_de_semana,Habitacional,Anonimo,No,Baja
Robo_sin_violencia,Vespertino,Fin_de_semana,Comercial,Victima,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Comercial,Victima,No,Baja
Auto_sospechoso,Matutino,Fin_de_semana,Habitacional,Testigo,No,Baja
Robo_sin_violencia,Matutino,Fin_de_semana,Comercial,Testigo,No,Baja
Accidente_vial,Nocturno,Entre_semana,Habitacional,Victima,No,Alta
Persona_sospechosa,Matutino,Fin_de_semana,Via_publica,Victima,No,Media
Incendio,Matutino,Entre_semana,Habitacional,Victima,No,Alta
Robo_sin_violencia,Vespertino,Entre_semana,Comercial,Anonimo,No,Baja
Violencia_familiar,Vespertino,Entre_semana,Comercial,Anonimo,No,Alta
Incendio,Nocturno,Entre_semana,Comercial,Victima,No,Alta
Accidente_vial,Vespertino,Entre_semana,Habitacional,Testigo,No,Media
Robo_sin_violencia,Vespertino,Entre_semana,Habitacional,Anonimo,No,Baja
Robo_con_violencia,Nocturno,Fin_de_semana,Habitacional,Victima,Si,Alta
Disturbio_vecinal,Nocturno,Entre_semana,Habitacional,Testigo,No,Media
Incendio,Matutino,Fin_de_semana,Via_publica,Victima,No,Alta
Robo_con_violencia,Matutino,Entre_semana,Habitacional,Anonimo,Si,Alta
Robo_con_violencia,Vespertino,Entre_semana,Comercial,Testigo,No,Alta
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Testigo,No,Baja
Robo_con_violencia,Nocturno,Entre_semana,Habitacional,Vecino,No,Alta
Robo_sin_violencia,Nocturno,Entre_semana,Comercial,Victima,No,Baja
Robo_con_violencia,Matutino,Entre_semana,Escolar,Victima,Si,Alta
Accidente_vial,Nocturno,Fin_de_semana,Comercial,Anonimo,No,Media
Persona_sospechosa,Vespertino,Entre_semana,Habitacional,Anonimo,No,Baja
Accidente_vial,Matutino,Entre_semana,Comercial,Victima,No,Media
Robo_sin_violencia,Vespertino,Entre_semana,Habitacional,Victima,No,Baja
Disturbio_vecinal,Nocturno,Entre_semana,Habitacional,Anonimo,No,Baja
Violencia_familiar,Nocturno,Entre_semana,Habitacional,Testigo,No,Alta
Auto_sospechoso,Nocturno,Fin_de_semana,Via_publica,Vecino,No,Baja
Auto_sospechoso,Nocturno,Entre_semana,Habitacional,Testigo,No,Baja
Robo_sin_violencia,Vespertino,Fin_de_semana,Habitacional,Victima,No,Baja
Robo_con_violencia,Vespertino,Entre_semana,Via_publica,Victima,Si,Alta
Incendio,Matutino,Fin_de_semana,Habitacional,Testigo,No,Alta
Auto_sospechoso,Vespertino,Entre_semana,Habitacional,Vecino,No,Baja
Accidente_vial,Matutino,Entre_semana,Habitacional,Anonimo,No,Media
Persona_sospechosa,Matutino,Fin_de_semana,Via_publica,Testigo,No,Baja
Auto_sospechoso,Nocturno,Entre_semana,Via_publica,Testigo,No,Baja
Violencia_familiar,Matutino,Fin_de_semana,Via_publica,Vecino,No,Alta
Auto_sospechoso,Matutino,Entre_semana,Habitacional,Vecino,No,Baja
Robo_con_violencia,Nocturno,Entre_semana,Via_publica,Vecino,Si,Alta
Disturbio_vecinal,Vespertino,Entre_semana,Habitacional,Vecino,No,Baja
Disturbio_vecinal,Vespertino,Fin_de_semana,Comercial,Testigo,No,Baja
Robo_sin_violencia,Nocturno,Entre_semana,Comercial,Vecino,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Comercial,Testigo,No,Baja
Robo_con_violencia,Matutino,Entre_semana,Escolar,Vecino,Si,Alta
Persona_sospechosa,Vespertino,Entre_semana,Via_publica,Testigo,No,Baja
Robo_con_violencia,Matutino,Entre_semana,Comercial,Victima,Si,Alta
Disturbio_vecinal,Nocturno,Fin_de_semana,Via_publica,Anonimo,No,Media
Disturbio_vecinal,Nocturno,Entre_semana,Via_publica,Victima,No,Media
Robo_sin_violencia,Nocturno,Entre_semana,Habitacional,Testigo,No,Baja
Accidente_vial,Nocturno,Entre_semana,Habitacional,Vecino,No,Media
Accidente_vial,Matutino,Entre_semana,Habitacional,Vecino,No,Media
Disturbio_vecinal,Vespertino,Entre_semana,Via_publica,Vecino,No,Baja
Persona_sospechosa,Nocturno,Entre_semana,Via_publica,Anonimo,Si,Alta
Robo_sin_violencia,Nocturno,Fin_de_semana,Habitacional,Victima,No,Media
Robo_sin_violencia,Vespertino,Entre_semana,Escolar,Testigo,No,Baja
Disturbio_vecinal,Nocturno,Entre_semana,Habitacional,Vecino,No,Media
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Anonimo,Si,Media
Robo_sin_violencia,Matutino,Entre_semana,Habitacional,Victima,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Comercial,Victima,No,Baja
Incendio,Nocturno,Entre_semana,Via_publica,Anonimo,No,Alta
Robo_con_violencia,Matutino,Entre_semana,Via_publica,Vecino,No,Alta
Disturbio_vecinal,Nocturno,Entre_semana,Habitacional,Testigo,No,Baja
Robo_sin_violencia,Matutino,Entre_semana,Habitacional,Anonimo,No,Baja
Accidente_vial,Nocturno,Entre_semana,Via_publica,Anonimo,No,Media
Disturbio_vecinal,Vespertino,Entre_semana,Habitacional,Testigo,No,Baja
Accidente_vial,Matutino,Entre_semana,Via_publica,Testigo,No,Media
Auto_sospechoso,Nocturno,Entre_semana,Comercial,Vecino,No,Baja
Disturbio_vecinal,Nocturno,Fin_de_semana,Via_publica,Testigo,No,Media
Violencia_familiar,Nocturno,Fin_de_semana,Via_publica,Testigo,No,Alta
Violencia_familiar,Nocturno,Fin_de_semana,Comercial,Victima,No,Alta
Persona_sospechosa,Nocturno,Entre_semana,Habitacional,Anonimo,No,Media
Robo_con_violencia,Nocturno,Fin_de_semana,Via_publica,Testigo,No,Alta
Persona_sospechosa,Vespertino,Entre_semana,Comercial,Anonimo,No,Baja
Auto_sospechoso,Nocturno,Fin_de_semana,Via_publica,Anonimo,No,Baja
Violencia_familiar,Vespertino,Fin_de_semana,Habitacional,Testigo,No,Alta
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Victima,No,Baja
Persona_sospechosa,Nocturno,Fin_de_semana,Comercial,Victima,No,Media
Persona_sospechosa,Matutino,Entre_semana,Via_publica,Victima,No,Media
Violencia_familiar,Vespertino,Entre_semana,Habitacional,Anonimo,No,Alta
Robo_sin_violencia,Nocturno,Entre_semana,Via_publica,Vecino,No,Baja
Auto_sospechoso,Nocturno,Fin_de_semana,Habitacional,Vecino,No,Baja
Auto_sospechoso,Vespertino,Entre_semana,Habitacional,Victima,No,Baja
Accidente_vial,Matutino,Entre_semana,Via_publica,Vecino,No,Media
Violencia_familiar,Vespertino,Entre_semana,Escolar,Anonimo,No,Alta
Robo_con_violencia,Vespertino,Fin_de_semana,Habitacional,Victima,Si,Alta
Auto_sospechoso,Nocturno,Entre_semana,Habitacional,Victima,No,Baja
Incendio,Matutino,Entre_semana,Habitacional,Anonimo,No,Alta
Violencia_familiar,Nocturno,Entre_semana,Comercial,Testigo,No,Alta
Persona_sospechosa,Nocturno,Entre_semana,Habitacional,Testigo,Si,Alta
Robo_sin_violencia,Nocturno,Entre_semana,Habitacional,Anonimo,No,Baja
Disturbio_vecinal,Nocturno,Entre_semana,Via_publica,Anonimo,No,Media
Robo_sin_violencia,Nocturno,Fin_de_semana,Habitacional,Anonimo,No,Baja
Violencia_familiar,Vespertino,Entre_semana,Via_publica,Victima,No,Alta
Robo_con_violencia,Nocturno,Entre_semana,Via_publica,Vecino,Si,Alta
Auto_sospechoso,Matutino,Entre_semana,Escolar,Victima,No,Baja
Accidente_vial,Nocturno,Entre_semana,Via_publica,Testigo,No,Alta
Accidente_vial,Nocturno,Entre_semana,Via_publica,Anonimo,No,Alta
Robo_con_violencia,Nocturno,Entre_semana,Habitacional,Testigo,No,Alta
Persona_sospechosa,Matutino,Entre_semana,Via_publica,Testigo,No,Baja
Incendio,Vespertino,Fin_de_semana,Comercial,Vecino,No,Alta
Violencia_familiar,Nocturno,Entre_semana,Habitacional,Victima,No,Alta
Robo_sin_violencia,Nocturno,Entre_semana,Via_publica,Victima,No,Media
Persona_sospechosa,Matutino,Entre_semana,Comercial,Testigo,No,Baja
Robo_sin_violencia,Vespertino,Fin_de_semana,Escolar,Anonimo,No,Baja
Incendio,Nocturno,Entre_semana,Via_publica,Vecino,No,Alta
Violencia_familiar,Nocturno,Entre_semana,Via_publica,Vecino,No,Alta
Disturbio_vecinal,Vespertino,Entre_semana,Via_publica,Victima,No,Media
Accidente_vial,Matutino,Entre_semana,Comercial,Anonimo,No,Media
Violencia_familiar,Matutino,Entre_semana,Via_publica,Victima,Si,Alta
Robo_sin_violencia,Matutino,Entre_semana,Comercial,Vecino,No,Baja
Incendio,Matutino,Entre_semana,Comercial,Victima,No,Alta
Accidente_vial,Matutino,Entre_semana,Escolar,Anonimo,No,Media
Auto_sospechoso,Nocturno,Entre_semana,Via_publica,Victima,No,Baja
Incendio,Nocturno,Entre_semana,Via_publica,Victima,No,Alta
Robo_con_violencia,Vespertino,Fin_de_semana,Escolar,Anonimo,Si,Alta
Violencia_familiar,Nocturno,Entre_semana,Comercial,Victima,No,Alta
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Vecino,No,Baja
Persona_sospechosa,Matutino,Fin_de_semana,Via_publica,Testigo,No,Baja
Accidente_vial,Vespertino,Entre_semana,Comercial,Vecino,No,Media
Accidente_vial,Vespertino,Entre_semana,Via_publica,Vecino,No,Media
Auto_sospechoso,Matutino,Entre_semana,Escolar,Testigo,No,Baja
Robo_con_violencia,Nocturno,Entre_semana,Via_publica,Testigo,No,Alta
Violencia_familiar,Vespertino,Entre_semana,Escolar,Vecino,No,Alta
Disturbio_vecinal,Vespertino,Entre_semana,Via_publica,Victima,No,Media
Robo_con_violencia,Vespertino,Fin_de_semana,Escolar,Vecino,No,Alta
Persona_sospechosa,Vespertino,Entre_semana,Comercial,Victima,No,Baja
Violencia_familiar,Matutino,Fin_de_semana,Habitacional,Vecino,No,Alta
Auto_sospechoso,Vespertino,Entre_semana,Comercial,Testigo,No,Baja
Violencia_familiar,Vespertino,Fin_de_semana,Via_publica,Vecino,No,Alta
Disturbio_vecinal,Vespertino,Entre_semana,Via_publica,Victima,No,Baja
Auto_sospechoso,Vespertino,Entre_semana,Via_publica,Anonimo,No,Baja
Robo_con_violencia,Matutino,Entre_semana,Comercial,Anonimo,Si,Alta
Robo_con_violencia,Vespertino,Entre_semana,Habitacional,Anonimo,Si,Alta
Persona_sospechosa,Nocturno,Entre_semana,Habitacional,Anonimo,No,Media
Disturbio_vecinal,Nocturno,Fin_de_semana,Comercial,Vecino,No,Baja
Disturbio_vecinal,Nocturno,Fin_de_semana,Comercial,Victima,No,Media
Auto_sospechoso,Matutino,Entre_semana,Escolar,Testigo,No,Baja
Disturbio_vecinal,Matutino,Entre_semana,Comercial,Victima,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Comercial,Victima,No,Baja
Violencia_familiar,Nocturno,Entre_semana,Comercial,Vecino,No,Alta
Disturbio_vecinal,Matutino,Fin_de_semana,Habitacional,Anonimo,Si,Media
Robo_con_violencia,Matutino,Entre_semana,Habitacional,Anonimo,No,Alta
Robo_sin_violencia,Matutino,Entre_semana,Via_publica,Testigo,No,Baja
Auto_sospechoso,Nocturno,Entre_semana,Via_publica,Victima,No,Baja
Disturbio_vecinal,Vespertino,Entre_semana,Escolar,Vecino,No,Media
Robo_sin_violencia,Nocturno,Fin_de_semana,Comercial,Victima,No,Baja
Disturbio_vecinal,Matutino,Fin_de_semana,Via_publica,Anonimo,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Via_publica,Anonimo,No,Baja
Robo_sin_violencia,Nocturno,Fin_de_semana,Via_publica,Vecino,Si,Alta
Persona_sospechosa,Matutino,Entre_semana,Habitacional,Anonimo,No,Baja
Robo_sin_violencia,Nocturno,Entre_semana,Via_publica,Victima,No,Media
Auto_sospechoso,Vespertino,Entre_semana,Via_publica,Anonimo,No,Baja
Accidente_vial,Matutino,Entre_semana,Via_publica,Testigo,No,Media
Robo_con_violencia,Matutino,Fin_de_semana,Habitacional,Testigo,Si,Alta
Auto_sospechoso,Nocturno,Entre_semana,Via_publica,Anonimo,No,Baja
Disturbio_vecinal,Matutino,Entre_semana,Via_publica,Testigo,No,Baja
Persona_sospechosa,Nocturno,Fin_de_semana,Habitacional,Anonimo,Si,Alta
Accidente_vial,Matutino,Entre_semana,Comercial,Victima,No,Media
Robo_con_violencia,Matutino,Fin_de_semana,Habitacional,Victima,Si,Alta
Robo_con_violencia,Vespertino,Fin_de_semana,Habitacional,Anonimo,Si,Alta
Robo_sin_violencia,Matutino,Fin_de_semana,Via_publica,Anonimo,Si,Media
Robo_sin_violencia,Nocturno,Fin_de_semana,Via_publica,Vecino,No,Baja
Robo_con_violencia,Vespertino,Entre_semana,Comercial,Testigo,No,Alta
Robo_con_violencia,Matutino,Entre_semana,Habitacional,Victima,Si,Alta
Auto_sospechoso,Matutino,Entre_semana,Habitacional,Victima,No,Baja
Robo_con_violencia,Vespertino,Entre_semana,Habitacional,Anonimo,Si,Alta
Accidente_vial,Nocturno,Fin_de_semana,Habitacional,Anonimo,No,Media
Robo_con_violencia,Matutino,Entre_semana,Habitacional,Victima,No,Alta
Robo_sin_violencia,Vespertino,Entre_semana,Via_publica,Vecino,No,Baja
Persona_sospechosa,Vespertino,Entre_semana,Via_publica,Testigo,No,Baja
Auto_sospechoso,Nocturno,Entre_semana,Comercial,Testigo,No,Baja
Accidente_vial,Nocturno,Entre_semana,Via_publica,Testigo,No,Alta
Robo_con_violencia,Vespertino,Entre_semana,Habitacional,Testigo,Si,Alta
Auto_sospechoso,Vespertino,Entre_semana,Via_publica,Victima,No,Baja
Robo_con_violencia,Nocturno,Entre_semana,Comercial,Victima,Si,Alta
Disturbio_vecinal,Nocturno,Entre_semana,Habitacional,Victima,No,Media
Accidente_vial,Vespertino,Entre_semana,Comercial,Testigo,No,Media
Auto_sospechoso,Nocturno,Fin_de_semana,Comercial,Testigo,No,Baja
Incendio,Matutino,Entre_semana,Via_publica,Anonimo,No,Alta
Violencia_familiar,Nocturno,Entre_semana,Via_publica,Anonimo,No,Alta
Disturbio_vecinal,Nocturno,Fin_de_semana,Habitacional,Vecino,Si,Alta
Incendio,Vespertino,Entre_semana,Comercial,Testigo,No,Alta
Auto_sospechoso,Nocturno,Entre_semana,Habitacional,Vecino,No,Baja
Auto_sospechoso,Matutino,Fin_de_semana,Comercial,Testigo,No,Baja
Persona_sospechosa,Nocturno,Entre_semana,Via_publica,Testigo,No,Media
Robo_con_violencia,Nocturno,Entre_semana,Habitacional,Anonimo,No,Alta
Disturbio_vecinal,Vespertino,Fin_de_semana,Comercial,Vecino,No,Baja
Accidente_vial,Vespertino,Fin_de_semana,Comercial,Vecino,No,Media
Accidente_vial,Matutino,Fin_de_semana,Habitacional,Testigo,No,Media
Incendio,Nocturno,Entre_semana,Via_publica,Testigo,No,Alta
Robo_sin_violencia,Vespertino,Entre_semana,Via_publica,Testigo,No,Baja
Violencia_familiar,Vespertino,Entre_semana,Habitacional,Vecino,No,Alta
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Vecino,No,Baja
Persona_sospechosa,Vespertino,Fin_de_semana,Habitacional,Anonimo,Si,Media
Robo_sin_violencia,Matutino,Entre_semana,Via_publica,Vecino,No,Baja
Accidente_vial,Nocturno,Entre_semana,Via_publica,Victima,No,Alta
Robo_con_violencia,Matutino,Fin_de_semana,Comercial,Anonimo,No,Alta
Robo_sin_violencia,Matutino,Entre_semana,Habitacional,Vecino,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Habitacional,Anonimo,No,Baja
Disturbio_vecinal,Vespertino,Entre_semana,Habitacional,Testigo,Si,Media
Auto_sospechoso,Nocturno,Entre_semana,Via_publica,Victima,No,Baja
Accidente_vial,Matutino,Entre_semana,Habitacional,Anonimo,No,Media
Robo_con_violencia,Vespertino,Entre_semana,Comercial,Victima,Si,Alta
Persona_sospechosa,Matutino,Entre_semana,Habitacional,Victima,No,Baja
Robo_con_violencia,Vespertino,Fin_de_semana,Habitacional,Vecino,No,Alta
Incendio,Matutino,Fin_de_semana,Via_publica,Vecino,No,Alta
Robo_con_violencia,Matutino,Entre_semana,Via_publica,Victima,No,Alta
Persona_sospechosa,Vespertino,Entre_semana,Habitacional,Victima,No,Baja
Robo_sin_violencia,Vespertino,Entre_semana,Habitacional,Vecino,No,Baja
Disturbio_vecinal,Matutino,Entre_semana,Habitacional,Vecino,Si,Media
Auto_sospechoso,Vespertino,Entre_semana,Habitacional,Anonimo,No,Baja
Accidente_vial,Matutino,Entre_semana,Habitacional,Testigo,No,Media
Violencia_familiar,Nocturno,Entre_semana,Via_publica,Testigo,No,Alta
Persona_sospechosa,Matutino,Fin_de_semana,Habitacional,Vecino,Si,Alta
Robo_con_violencia,Nocturno,Fin_de_semana,Habitacional,Vecino,Si,Alta
Incendio,Matutino,Entre_semana,Comercial,Victima,No,Alta
Auto_sospechoso,Nocturno,Entre_semana,Via_publica,Victima,No,Baja
Robo_sin_violencia,Matutino,Entre_semana,Via_publica,Victima,No,Baja
Accidente_vial,Matutino,Entre_semana,Habitacional,Victima,No,Media
Disturbio_vecinal,Matutino,Entre_semana,Comercial,Testigo,No,Baja
Persona_sospechosa,Nocturno,Entre_semana,Comercial,Victima,No,Media
Robo_con_violencia,Matutino,Entre_semana,Comercial,Victima,Si,Alta
Accidente_vial,Matutino,Entre_semana,Via_publica,Anonimo,No,Media
